Humidity (%),Pressure (hPa),Wind Speed (km/h),Dew Point (°C),Feels Like (°C),Cloud Cover (%),UV Index,Visibility (km),Solar Energy (kWh/m²),Solar Radiation (W/m²),Wind Gust (km/h),Daylight Duration (min),Month,DayOfWeek,Wind_X,Wind_Y,Humidity_Medium,Humidity_High
59.6,1002.7,14.4,22.2,35.0,98.6,9.0,24.1,15.5,180.2,20.9,785.35,7,2,-0.5150380749100544,-0.8571673007021121,True,False
67.0,1003.8,10.1,22.5,32.7,100.0,5.0,24.0,6.6,77.0,16.2,784.85,7,3,0.37460659341591196,-0.9271838545667874,False,True
66.7,1004.2,14.4,21.6,30.8,100.0,3.0,24.1,3.8,44.7,34.2,784.35,7,4,-0.2079116908177598,-0.9781476007338056,False,True
62.7,1003.7,14.8,21.7,32.6,99.7,7.0,23.9,11.4,131.7,22.0,783.8333333333334,7,5,-0.08193850863004044,-0.9966373868180366,False,True
80.6,1004.8,11.9,22.7,27.3,100.0,1.0,18.8,1.4,15.0,26.6,783.2833333333333,7,6,-0.30901699437494756,-0.9510565162951535,False,True
77.6,1005.0,13.3,22.2,27.2,100.0,1.0,24.1,2.1,23.5,27.4,782.7333333333333,7,0,-0.31895930929807037,-0.9477684100095856,False,True
63.9,1005.3,14.8,21.0,30.3,97.1,3.0,24.1,8.7,96.4,25.6,782.1666666666666,7,1,-0.2739592186924323,-0.9617413095492114,False,True
64.0,1004.6,18.7,21.1,30.9,92.4,7.0,21.1,11.1,125.6,23.8,781.5833333333334,7,2,-0.06453230825295769,-0.997915618272179,False,True
57.8,1003.0,22.7,20.9,32.9,89.9,6.0,23.5,15.4,177.9,27.7,780.9833333333333,7,3,-0.12533323356430373,-0.9921147013144779,True,False
58.3,1002.1,11.2,21.6,34.0,81.9,8.0,24.1,16.2,191.8,20.9,780.3666666666667,7,4,-0.544639035015027,-0.8386705679454242,True,False
59.1,1002.7,16.2,21.5,33.4,99.7,5.0,24.1,9.3,107.1,26.6,779.75,7,5,-0.22665130743685521,-0.9739759672790516,True,False
81.6,1002.3,21.2,23.2,27.9,100.0,2.0,17.7,5.7,61.5,39.2,779.0833333333334,7,6,-0.5891963573533421,-0.8079898838980305,False,True
89.0,1000.0,23.8,23.3,25.2,100.0,1.0,19.0,2.6,29.5,45.4,778.4333333333333,7,0,-0.4067366430758001,-0.913545457642601,False,True
68.4,1000.3,16.9,21.8,30.3,75.7,6.0,24.1,18.0,205.8,24.5,777.7666666666667,7,1,-0.3469356515732562,-0.9378889346118975,False,True
63.3,1000.8,24.5,22.1,33.0,57.8,8.0,24.1,19.8,230.1,39.2,777.0833333333334,7,2,-0.6441236297613866,-0.7649214009184317,False,True
